Category,description,imgUrl,link,title
business,"Trinh Van Quyet, chairman of real estate developer FLC, is working with authorities to ""verify information.""",https://i1-english.vnecdn.net/2022/03/28/aimg9855copy164247450755881642-1605-3517-1648466132.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=HVlt_p6SUIJAxaXQM7D6_A,https://e.vnexpress.net/news/companies/real-estate-tycoon-questioned-by-police-4444501.html,Real estate tycoon questioned by police
business,SCG and its member companies have supported and accompanied authorities and people in Hai Duong during the Covid-19 pandemic.,https://i1-english.vnecdn.net/2022/03/25/Image-201695077-ExtractWord-1-3833-3492-1648197954.png?w=900&h=0&q=100&dpr=1&fit=crop&s=-K-T0DWAKlJzNRpF6iiTGw,https://e.vnexpress.net/news/business/scg-hands-over-hand-washing-sinks-in-hai-duong-continues-efforts-against-covid-19-4443469.html,"SCG hands over hand washing sinks in Hai Duong, continues efforts against Covid-19"
business,"Vietnam’s benchmark VN-Index plunged 1.02 percent to 1,483.18 points Monday, its biggest drop in 10 sessions, as many speculative stocks hit the floor.",https://i1-english.vnecdn.net/2022/03/28/WEBQUYN8396jpeg66801618391693-5497-2523-1648456819.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=yVMq6ZANsgoumNkvKxdnhg,https://e.vnexpress.net/news/economy/vn-index-slides-as-speculative-stocks-bottom-4442570.html,VN-Index slides as speculative stocks bottom
business,"Shinhan Bank Vietnam on Monday announced the appointment of Kang Gew Won as its CEO, replacing Lee Taekyung after a year at the helm.",https://i1-english.vnecdn.net/2022/03/28/ongkanggewwontantonggiam178480-3181-9284-1648452638.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=z77jQrTHPQi_5Gehx39L0A,https://e.vnexpress.net/news/companies/shinhan-bank-vietnam-appoints-new-ceo-4444363.html,Shinhan Bank Vietnam appoints new CEO
business,Foreign investors bought nearly VND2.5 trillion ($109.32 million) worth of shares in Vietnam last week after four weeks of selling.,https://i1-english.vnecdn.net/2022/03/28/WEBQUYN8123-1648436168-6139-1648442489.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=739Squ7tyLYZD72GgDYkRA,https://e.vnexpress.net/news/economy/foreign-investors-turn-buyers-after-4-weeks-4444206.html,Foreign investors turn buyers after 4 weeks
business,"High growth rate and expanding land holdings will drive real estate giant Phat Dat’s valuation to US$5-7 billion by 2025, its chairman, Nguyen Van Dat, has said.",https://i1-english.vnecdn.net/2022/03/28/image1156205250866269178142cro-4052-5110-1648440640.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=fZl_5yp1nTs3ESROriu1HQ,https://e.vnexpress.net/news/companies/phat-dat-market-cap-to-reach-5-7-billion-in-next-3-years-chairman-4444266.html,Phat Dat market cap to reach $5-7 billion in next 3 years: chairman
business,The stocks of real estate developer FLC and related companies hit the floor Monday morning after the company was fined for flouting disclosure regulations.,https://i1-english.vnecdn.net/2022/03/28/31-1648439566-3900-1648439572.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=nVp_cqY-ypnFXPKY7VC4OQ,https://e.vnexpress.net/news/companies/flc-related-stocks-plummet-after-regulators-fine-for-disclosure-violations-4444251.html,"FLC, related stocks plummet after regulator’s fine for disclosure violations"
business,Novaland is collaborating with Vietstar Airlines to provide tourists at NovaWorld projects specialized flight and air evacuation services.,https://i1-english.vnecdn.net/2022/03/27/347-8487-1648386130-1648394366-2499-2441-1648394542.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=oGyeYjpqgeHlJpUX77ypKQ,https://e.vnexpress.net/news/business/novaland-provides-customers-specialized-aviation-services-4444054.html,Novaland provides customers specialized aviation services
business,"While the prices of many consumer goods are rising sharply, some have bucked the trend as their supply remains strong while demand, especially for exports, is weak.",https://i1-english.vnecdn.net/2022/03/25/quyn982187581648026985-1648199-9826-6298-1648200516.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=dz3Kee4bEn4B0nxkgffFoA,https://e.vnexpress.net/news/economy/fruits-meats-buck-trend-of-surging-prices-4443526.html,"Fruits, meats buck trend of surging prices"
business,Logistics companies are expanding in Vietnam as they eye profits from growing demand for transportation amid a boom in trade.,https://i1-english.vnecdn.net/2022/03/25/WEBCangCatLai30-1648095871-4819-1648176780.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=DNiVlMceUpUfH5Co5viiZg,https://e.vnexpress.net/news/industries/logistics-firms-eye-booming-underserved-market-4442872.html,"Logistics firms eye booming, underserved market"
business,"M Village, an accommodation startup in co-living spaces, has received funding of US$1.7 million led by Singaporean venture fund Simple Tech Investment.",https://i1-english.vnecdn.net/2022/03/26/1-1648275617-3017-1648275620-1-6442-1138-1648275655.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=hD2tYkp8hk1CaZyum8T9qw,https://e.vnexpress.net/news/companies/vietnamese-co-living-startup-raises-1-7-mln-from-singapore-fund-4443750.html,Vietnamese co-living startup raises $1.7 mln from Singapore fund
business,"Real estate developer FLC has been fined VND495 million ($21,650) for violating information disclosure laws two months after its chairman Trinh Van Quyet received a similar fine.",https://i1-english.vnecdn.net/2022/03/26/WEBshutterstock138023564316199-2745-9821-1648270526.png?w=900&h=0&q=100&dpr=1&fit=crop&s=TQayjD0PD7GWUNEIK8Y1zA,https://e.vnexpress.net/news/companies/flc-fined-for-flouting-financial-disclosure-regulations-4443688.html,FLC fined for flouting financial disclosure regulations
business,Dairy giant Vinamilk is struggling to claim a bigger share of the market as its growth potential diminishes in the face of stiff competition from fast growing rivals.,https://i1-english.vnecdn.net/2022/03/25/WEBHUY4815-1648190296-8047-1648201884.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=s-zNWHCynwnieceRRo85BA,https://e.vnexpress.net/news/business/data-speaks/vinamilk-struggles-to-maintain-dominance-as-competitors-catch-up-4443299.html,Vinamilk struggles to maintain dominance as competitors catch up
business,"The digital economy accounted for around 15 percent of Ho Chi Minh City’s gross domestic product, or VND191.8 trillion (US$8.27 billion) last year, according to a study.",https://i1-english.vnecdn.net/2022/03/25/quyn49791648182869752516481830-3950-4178-1648199868.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=jxx3qwzUMLZX__xqiDOJrg,https://e.vnexpress.net/news/economy/hcmc-digital-economy-estimated-to-be-worth-8-bln-4443519.html,HCMC digital economy estimated to be worth $8 bln
business,Vietnam's annual overtime cap has increased by 50 percent in the last decade as employers target higher production and workers seek extra income.,https://i1-english.vnecdn.net/2022/03/25/1-jpeg.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=rdGVNLEJRvAcHj1qgKBKuA,https://e.vnexpress.net/infographics/economy/the-rise-of-overtime-cap-in-10-years-4443294.html,The rise of overtime cap in 10 years
business,"Vietnam’s benchmark VN-Index went sideways Friday and remained at 1,498 points.",https://i1-english.vnecdn.net/2022/03/25/WEBQUYN8379-1648197032-6652-1648197050.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=W674OtUBViatnaITkT2QXg,https://e.vnexpress.net/news/economy/vn-index-goes-sideways-around-key-threshold-4442569.html,VN-Index goes sideways around key threshold
business,"Insider, a Singapore-based marketing tech company that recently raised US$121 million in a series D funding round, said Thursday it would invest a quarter of that in Vietnam.",https://i1-english.vnecdn.net/2022/03/25/edk7392jpg16481094711648104143-1832-3530-1648190438.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=h0QF5v4Cq5LNY7zdUnXvJg,https://e.vnexpress.net/news/companies/singaporean-tech-unicorn-to-increase-investment-in-vietnam-4443385.html,Singaporean tech unicorn to increase investment in Vietnam
business,Housing developer Thuduc House promoted vice chairman Duong Ngoc Hai as chairman Tuesday in place of Lu Minh Son who resigned after being at the helm for just a month.,https://i1-english.vnecdn.net/2022/03/25/atbtdhpicthuduchousejpg1679164-4422-9946-1648177835.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=g9STeCMX6Xr43LJymYtn4g,https://e.vnexpress.net/news/companies/thuduc-house-gets-3rd-chairman-in-2-months-4443285.html,Thuduc House gets 3rd chairman in 2 months
business,"The price of grade C apartments in Ho Chi Minh City have skyrocketed to VND50 million (US$2,200) a square meter from VND18 million in 2016.",https://i1-english.vnecdn.net/2022/03/24/c30c89e95c0ffb62e851faff2a84e1-1850-4405-1648104626.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=dBdmt9F9ZqvFMe8Q305MFg,https://e.vnexpress.net/news/economy/hcmc-affordable-apartment-prices-soar-3-fold-in-6-years-4442932.html,HCMC 'affordable' apartment prices soar 3-fold in 6 years
business,"The surging prices of gasoline, food and services have forced consumers to reduce spending as inflation erodes their purchasing power and incomes remain stagnant.",https://i1-english.vnecdn.net/2022/03/24/WEBQUYN5185-1648117113-3525-1648117139.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=alobgopDaIjmPQBatHMDxw,https://e.vnexpress.net/news/economy/consumers-tighten-their-belts-as-prices-surge-4443071.html,Consumers tighten their belts as prices surge
business,"The new Bizhouse real estate model serves the needs of living, vacationing, long-term business development, and sustainability.",https://i1-english.vnecdn.net/2022/03/24/183-1648116593-8356-1648116638.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=-d0gnKMBj7jg1jh_o9AJ-A,https://e.vnexpress.net/news/business/profit-optimization-with-vietnam-s-first-bizhouse-chains-4442914.html,Profit optimization with Vietnam's first Bizhouse chains
business,"Heads of major companies have exhorted HCMC authorities to improve the city's logistics capacity, with some signaling an interest in investing in the sector.",https://i1-english.vnecdn.net/2022/03/24/cangcatlai2jpeg87211627527765-5759-8961-1648090567.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=hRCBxx2rBv9jst34ntqF_A,https://e.vnexpress.net/news/economy/business-wants-hcmc-to-focus-on-logistics-infrastructure-4442792.html,Business wants HCMC to focus on logistics infrastructure
business,"The Sun Tower is a 6,000-square-meter office building with retail space at the podium of Grand Marina, Sai Gon, which spans over 25 hectares.",https://i1-english.vnecdn.net/2022/03/21/Image-ExtractWord-0-Out-9912-1647851214.png?w=900&h=0&q=100&dpr=1&fit=crop&s=tgi-DcawPHX1yBJNWSnBbw,https://e.vnexpress.net/news/business/masterise-homes-breaks-ground-on-the-sun-tower-4441532.html,Masterise Homes breaks ground on The Sun Tower
business,"Airfares during the four-day holiday at the end of April have tripled, signaling increased demand for travel as the country reopens.",https://i1-english.vnecdn.net/2022/03/24/WEBQUYN4957-1648088589-4160-1648096461.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=vDbpvfF77uG5t2cDvLfFUw,https://e.vnexpress.net/news/companies/april-end-holiday-airfares-take-off-4442742.html,April-end holiday airfares take off
business,"Vietnam’s benchmark VN-Index dropped 0.27 percent to 1,498.26 points Thursday with strong selling pressure on blue chip tickers.",https://i1-english.vnecdn.net/2022/03/24/cg2a9147jpeg49071647944313-164-2864-4171-1648111918.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=9DCHkVw8uE89Pbio5kLqQA,https://e.vnexpress.net/news/economy/vn-index-slips-from-1500-point-threshold-as-selling-pressure-continues-4443016.html,"VN-Index slips from 1,500-point threshold as selling pressure continues"
business,Companies have called on the government to raise workers' overtime limit to 400-500 hours a year rather than the 300 lawmakers decided amid a persistent labor shortage.,https://i1-english.vnecdn.net/2022/03/24/may10219816478472661-164809577-7398-7722-1648096209.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=KvW9sZb5VeSFhMVbM5fFuQ,https://e.vnexpress.net/news/economy/companies-seek-doubling-of-overtime-limit-as-severe-labor-shortage-continues-4442887.html,Companies seek doubling of overtime limit as severe labor shortage continues
business,"KIDO, the leading producer of cooking oil and ice cream in Vietnam, expected to reap revenues and profits of VND14 trillion ($612 million) and VND900 billion this year, up 31 percent and 33 percent, respectively.",https://i1-english.vnecdn.net/2022/03/23/img335416480127721648012842183-6822-9697-1648028937.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=yTIQuHzU5FoO_LoS8fZnlw,https://e.vnexpress.net/news/companies/leading-food-producer-kido-seeks-33-pct-rise-in-profits-4442573.html,Leading food producer KIDO seeks 33 pct rise in profits
business,Vietnamese lawmakers Wednesday decided to increase the monthly overtime cap of a worker from 40 to 60 hours.,https://i1-english.vnecdn.net/2022/03/23/QUYN926345761648031253-1648040-3564-6443-1648040334.jpg?w=900&h=0&q=100&dpr=1&fit=crop&s=LLbo_gKq9CZ4MC9VhnO_tg,https://e.vnexpress.net/news/economy/vietnam-hikes-overtime-cap-until-year-end-4442621.html,Vietnam hikes overtime cap until year-end
