category,description,imgUrl,link,title
world,"Ukraine’s president said that over 300 people had been killed and tortured in a Kyiv suburb. As he prepared to speak to the Security Council, U.S. and European allies vowed to hold Russia accountable for the killings.",https://static01.nyt.com/images/2022/04/05/world/05ukraine-blog-header-420am-est/05ukraine-blog-header-420am-est-moth.jpg,https://www.nytimes.com/live/2022/04/05/world/ukraine-russia-war,Ukraine Live Updates: Zelensky to Address U.N. as Toll of Atrocities Grows
world,"The apparent execution of Ukrainian civilians by retreating Russian forces, their bodies strewn in streets and yards, has focused attention on what constitutes crimes in war.",https://static01.nyt.com/images/2022/04/04/world/04ukraine-atrocities/04ukraine-atrocities-moth.jpg,https://www.nytimes.com/2022/04/05/world/europe/russia-ukraine-war-atrocities.html,Up-Close Ukraine Atrocity Photographs Touch a Global Nerve
world,"A local official said he was detained and interrogated by the Russians, and described what he called mock executions.",https://static01.nyt.com/images/2022/04/04/world/04ukraine-nova-basan-top/04ukraine-nova-basan-top-moth.jpg,https://www.nytimes.com/2022/04/04/world/europe/ukraine-nova-basan-russia.html,‘Sitting at Home and Trembling.’ A Town Emerges After a Russian Retreat.
world,"The images rebut Russia’s claim that the killing of civilians in Bucha, near Kyiv, took place after its soldiers had left town.",,https://www.nytimes.com/2022/04/04/world/europe/bucha-ukraine-bodies.html,"Dead Lay Out in Bucha for Weeks, Refuting Russian Claim, Satellite Images Show"
world,"A brutal campaign against a rebellion in Western Sudan displaced millions and left the world aghast. Two decades later, the first and only war crimes trial has gotten underway.",,https://www.nytimes.com/2022/04/05/world/africa/darfur-janjaweed-trial-icc.html,Darfur War Crimes Trial Begins in Hague
world,The State Department and the French foreign ministry said they were alarmed at reports of deaths caused by the Malian armed forces and their allies — Russian mercenaries with the Wagner Group.,https://static01.nyt.com/images/2022/04/04/world/04mali-1/04mali-1-moth.jpg,https://www.nytimes.com/2022/04/04/world/africa/killing-moura-mali.html,Western Officials Condemn Reports of ‘Massacre’ by Military in Central Mali
world,"Having failed to score a quick triumph, Russia is shifting its attention to the contested breakaway enclaves, in Ukraine’s East. It is also shelling large cities to keep enemy forces from the expected new areas of battle.",https://static01.nyt.com/images/2022/04/04/world/00ukraine-east-promo/00ukraine-east-top-moth.jpg,https://www.nytimes.com/2022/04/04/world/europe/ukraine-war-east-russia.html,Russia Shifts Focus of Ukraine War East as Putin Looks for a Victory
world,"President Biden called for Vladimir Putin to face trial for war crimes, and European officials will meet to consider possibly banning some Russian energy imports.",https://static01.nyt.com/images/2022/04/04/world/04ukraine-diplomacy-top/04ukraine-diplomacy-top-moth.jpg,https://www.nytimes.com/2022/04/04/world/europe/biden-putin-ukraine-war.html,Images of Russian Atrocities Push West Toward Tougher Sanctions
world,,https://static01.nyt.com/images/2022/04/05/world/05virus-briefing-shanghai1/05virus-briefing-shanghai1-moth.jpg,https://www.nytimes.com/live/2022/04/05/world/covid-19-mandates-cases-vaccine/shanghai-defends-separating-infected-children-from-uninfected-parents,Shanghai defends separating infected children from uninfected parents.
world,The country’s Rajapaksa dynasty is facing its toughest challenge yet as protesters demand that the president step down amid a devastating economic crisis.,https://static01.nyt.com/images/2022/04/04/world/04srilanka-add2/04srilanka-add2-moth.jpg,https://www.nytimes.com/2022/04/04/world/asia/sri-lanka-protests-rajapaksa.html,Sri Lanka Protesters Call for President to Resign After Cabinet Shuffle
